1,"18NYJ010A","https://integra-ext.petrobras.com.br/SPFViewDir/fdf52e27-2331-40a9-e063-2d2a1e0abc4c/0ab20736-7d23-46b2-b60c-e7cb4a11f04f/I-DE-3010.2N-1254-888-NAQ-154_D_VDA-P82-NAQ-00405_D_VR.xlsx","4074712","DM_PRJ-0000000005_I-DE-3010.2N-1254-888-NAQ-154_E__1","I-DE-3010.2N-1254-888-NAQ-154","E","Current","PROCESS RIO LAYOUT",,"APPROVED FOR DESIGN",,,"BUZIOS - P-82\01-VENDOR DOCUMENTS\1254-321-001-CO2 COMPRESSION UNIT","NAQ","2024-11-18T03:31:26.332Z","amirahsyafiqah.baki","amirahsyafiqah.baki","2024-11-18T05:49:23.087Z","amirahsyafiqah.baki","2024-11-18T05:49:49.156Z","PR_PRJ-0000000005","18NYJ00FA"
2,"18NYJ011A","https://integra-ext.petrobras.com.br/SPFViewDir/fdf52e27-2331-40a9-e063-2d2a1e0abc4c/131b7a62-4590-4c58-a130-7bde1243e4ee/I-DE-3010.2N-1254-888-NAQ-154_E_AFD_20241114.pdf","4049366","DM_PRJ-0000000005_I-DE-3010.2N-1254-888-NAQ-154_E__1","I-DE-3010.2N-1254-888-NAQ-154","E","Current","PROCESS RIO LAYOUT",,"APPROVED FOR DESIGN",,,"BUZIOS - P-82\01-VENDOR DOCUMENTS\1254-321-001-CO2 COMPRESSION UNIT","NAQ","2024-11-18T03:31:26.332Z","amirahsyafiqah.baki","amirahsyafiqah.baki","2024-11-18T05:49:23.087Z","amirahsyafiqah.baki","2024-11-18T05:49:49.156Z","PR_PRJ-0000000005","18NYJ00FA"
2,"18NYJ00YA","https://integra-ext.petrobras.com.br/SPFViewDir/fdf52e27-2331-40a9-e063-2d2a1e0abc4c/4a20d448-39ba-4ddf-bc79-90beda6ca671/I-DE-3010.2N-1254-888-NAQ-069_E_IFD_20241114.pdf","14877259","DM_PRJ-0000000005_I-DE-3010.2N-1254-888-NAQ-069_E__1","I-DE-3010.2N-1254-888-NAQ-069","E","Current","UNIT CONTROL SYSTEM LAYOUT/CONSTRUCTION & MAIN COMPONENTS LIST",,"FOR DESIGN",,,"BUZIOS - P-82\01-VENDOR DOCUMENTS\1254-321-001-CO2 COMPRESSION UNIT","NAQ","2024-11-18T03:31:26.332Z","amirahsyafiqah.baki","amirahsyafiqah.baki","2024-11-18T05:49:23.087Z","amirahsyafiqah.baki","2024-11-18T05:49:49.156Z","PR_PRJ-0000000005","18NYJ009A"
0,"18NXZ00AA","https://integra-ext.petrobras.com.br/SPFViewDir/fdf52e27-2331-40a9-e063-2d2a1e0abc4c/a250a78c-ff11-41af-b3f5-58490ead770d/I-ET-3010.2N-1350-311-FRH-017_C_ASB_20241113.docx","39994","DM_PRJ-0000000005_I-ET-3010.2N-1350-311-FRH-017_C__1","I-ET-3010.2N-1350-311-FRH-017","C","Current","PERFORMANCE DIAGRAM, SD250 (SLOP PUMP)",,"AS-BUILT",,,"BUZIOS - P-82\01-VENDOR DOCUMENTS\1350-311-001-CARGO AREA SUBMERGED PUMPS","FRH","2024-11-18T03:28:29.26Z","amirahsyafiqah.baki","amirahsyafiqah.baki","2024-11-18T05:47:06.258Z","amirahsyafiqah.baki","2024-11-18T05:47:15.175Z","PR_PRJ-0000000005","18NXZ003A"
0,"18NXK00KA","https://integra-ext.petrobras.com.br/SPFViewDir/fdf52e27-2331-40a9-e063-2d2a1e0abc4c/8f5b203b-35bc-4513-b9df-5b527f859dad/I-DE-3010.2N-1227-810-VMP-049_B_ReviewComments.xlsx","11373","DM_PRJ-0000000005_I-DE-3010.2N-1227-810-VMP-049_C__1","I-DE-3010.2N-1227-810-VMP-049","C","Current","GENERAL ARRANGEMENT DRAWING - PG AND TG (FIELD GAUGE)",,"APPROVED FOR DESIGN",,,"BUZIOS - P-82\01-VENDOR DOCUMENTS\1233-560-001-TEG REGENERATION SYSTEM AND GAS DEHYDRATION UNIT","VMP","2024-11-18T03:19:54.861Z","amirahsyafiqah.baki","amirahsyafiqah.baki","2024-11-18T05:44:45.224Z","amirahsyafiqah.baki","2024-11-18T05:45:01.486Z","PR_PRJ-0000000005","18NXK003A"
1,"18NXZ00BA","https://integra-ext.petrobras.com.br/SPFViewDir/fdf52e27-2331-40a9-e063-2d2a1e0abc4c/382ec57b-4096-41ed-bf48-edff972160b8/I-ET-3010.2N-1350-311-FRH-017_C_ASB_20241113.zip","2330432","DM_PRJ-0000000005_I-ET-3010.2N-1350-311-FRH-017_C__1","I-ET-3010.2N-1350-311-FRH-017","C","Current","PERFORMANCE DIAGRAM, SD250 (SLOP PUMP)",,"AS-BUILT",,,"BUZIOS - P-82\01-VENDOR DOCUMENTS\1350-311-001-CARGO AREA SUBMERGED PUMPS","FRH","2024-11-18T03:28:29.26Z","amirahsyafiqah.baki","amirahsyafiqah.baki","2024-11-18T05:47:06.258Z","amirahsyafiqah.baki","2024-11-18T05:47:15.175Z","PR_PRJ-0000000005","18NXZ003A"
0,"18NXK00OA","https://integra-ext.petrobras.com.br/SPFViewDir/fdf52e27-2331-40a9-e063-2d2a1e0abc4c/82426fd6-f6a4-4116-923e-0f72bfe59364/I-MC-3010.2N-1227-540-VMP-180_C_ReviewComments.xlsx","12127","DM_PRJ-0000000005_I-MC-3010.2N-1227-540-VMP-180_D__1","I-MC-3010.2N-1227-540-VMP-180","D","Current","MECHANICAL CALCULATION - TEG UNIT SEAL DRUM VESSEL (V-UC-Z-1227001-02)",,"APPROVED FOR DESIGN",,,"BUZIOS - P-82\01-VENDOR DOCUMENTS\1233-560-001-TEG REGENERATION SYSTEM AND GAS DEHYDRATION UNIT","VMP","2024-11-18T03:19:54.861Z","amirahsyafiqah.baki","amirahsyafiqah.baki","2024-11-18T05:44:45.224Z","amirahsyafiqah.baki","2024-11-18T05:45:01.486Z","PR_PRJ-0000000005","18NXK009A"
1,"18O0B00LA","https://integra-ext.petrobras.com.br/SPFViewDir/fdf52e27-2331-40a9-e063-2d2a1e0abc4c/2c5db08a-573d-44bb-97c2-320a4ad4a284/I-CE-3010.2N-1400-832-A1S-101_A_AFD_20241112.pdf","58600844","DM_PRJ-0000000005_I-CE-3010.2N-1400-832-A1S-101_A__1","I-CE-3010.2N-1400-832-A1S-101","A","Current","MATERIAL TEST CERTIFICATES",,"APPROVED FOR DESIGN",,,"BUZIOS - P-82\01-VENDOR DOCUMENTS\1200-832-001-PRESSURE REGULATOR CONTROL VALVE (PCV) (TOPSIDE)","A1S","2024-11-18T03:49:53.13Z","amirahsyafiqah.baki","amirahsyafiqah.baki","2024-11-18T05:59:31.147Z","amirahsyafiqah.baki","2024-11-18T05:59:50.586Z","PR_PRJ-0000000005","18O0B003A"
0,"18NWN014A","https://integra-ext.petrobras.com.br/SPFViewDir/fdf52e27-2331-40a9-e063-2d2a1e0abc4c/eea7c5e1-f95e-4398-85fd-b3e5559ccf5a/I-DE-3010.2N-5134-942-A1O-001_K_ReviewComments.xlsx","19416","DM_PRJ-0000000005_I-DE-3010.2N-5134-942-A1O-001_L__1","I-DE-3010.2N-5134-942-A1O-001","L","Current","GENERAL ARRANGEMENT FOR AIR COMPRESSOR (UC-5134501B/C/D/E) - SAFE AREA",,"APPROVED FOR DESIGN",,,"BUZIOS - P-82\01-VENDOR DOCUMENTS\5134-323-001-INSTRUMENT SERVICE AIR COMPRESSION UNIT","A1O","2024-11-18T03:19:44.449Z","amirahsyafiqah.baki","amirahsyafiqah.baki","2024-11-18T05:41:44.705Z","amirahsyafiqah.baki","2024-11-18T05:42:13.016Z","PR_PRJ-0000000005","18NWN003A"
1,"18NXK00LA","https://integra-ext.petrobras.com.br/SPFViewDir/fdf52e27-2331-40a9-e063-2d2a1e0abc4c/e29b927d-e4d7-43ba-ac5b-fbae0c2b6426/I-DE-3010.2N-1227-810-VMP-049_B_VDA-P82-VMP-00573_B_VR.xlsx","3682364","DM_PRJ-0000000005_I-DE-3010.2N-1227-810-VMP-049_C__1","I-DE-3010.2N-1227-810-VMP-049","C","Current","GENERAL ARRANGEMENT DRAWING - PG AND TG (FIELD GAUGE)",,"APPROVED FOR DESIGN",,,"BUZIOS - P-82\01-VENDOR DOCUMENTS\1233-560-001-TEG REGENERATION SYSTEM AND GAS DEHYDRATION UNIT","VMP","2024-11-18T03:19:54.861Z","amirahsyafiqah.baki","amirahsyafiqah.baki","2024-11-18T05:44:45.224Z","amirahsyafiqah.baki","2024-11-18T05:45:01.486Z","PR_PRJ-0000000005","18NXK003A"
